,postcode,locality,Long_precise,Lat_precise,distance,duration
6533,3143,ARMADALE,145.0190242,-37.857253,132472.1,6321.2
6534,3143,ARMADALE NORTH,145.0206967,-37.8554995,131982.1,6234.6
6535,3144,KOOYONG,145.035,-37.841944,130488.9,6120.0
6536,3144,MALVERN,145.0341642,-37.8572432,130764.4,6159.4
6537,3144,MALVERN NORTH,145.0301857,-37.8517621,130643.7,6110.2
6538,3145,CAULFIELD EAST,145.0444397,-37.8791959,127976.8,6211.0
6539,3145,CENTRAL PARK,145.0442351,-37.8683193,130834.4,6194.2
6540,3145,DARLING,145.0593667,-37.876934,126371.5,6013.7
6541,3145,DARLING SOUTH,145.059,-37.8774,126508.4,6027.8
6542,3145,MALVERN EAST,145.059272,-37.8773116,126330.3,6006.4
6543,3145,WATTLETREE ROAD PO,145.041,-37.8638,130685.6,6152.2
6544,3146,GLEN IRIS,145.0548502,-37.8577136,129109.1,6009.5
6545,3146,TOORONGA,145.0548502,-37.8577136,129109.1,6009.5
6546,3147,ASHBURTON,145.083056,-37.866944,125694.2,5995.9
6547,3147,ASHWOOD,145.103,-37.867,124225.2,5851.7
6548,3148,CHADSTONE,145.0989646,-37.8819831,122751.0,5710.7
6549,3148,CHADSTONE CENTRE,145.0847703,-37.8858532,123995.6,5813.6
6550,3148,HOLMESGLEN,145.0917386,-37.885752,123856.7,5903.3
6551,3148,JORDANVILLE,145.112,-37.8736,123051.3,5742.1
6552,3149,MOUNT WAVERLEY,145.1265477,-37.8772869,121459.9,5776.5
6553,3149,PINEWOOD,145.1403684,-37.8886721,119020.7,5620.5
6554,3149,SYNDAL,145.1494922,-37.8766918,120277.2,5700.0
6555,3150,BRANDON PARK,145.169,-37.9145,117334.9,5552.1
6556,3150,GLEN WAVERLEY,145.1668205,-37.8743502,122078.6,5800.1
6557,3150,WHEELERS HILL,145.1890123,-37.9067871,117687.2,5518.0
6558,3151,BURWOOD EAST,145.1513801,-37.8552869,122701.2,5945.4
6559,3151,BURWOOD HEIGHTS,145.1513801,-37.8552869,122701.2,5945.4
6560,3152,KNOX CITY CENTRE,145.2411111,-37.8688889,122709.6,5826.6
6561,3152,STUDFIELD,145.24,-37.8602,122919.8,5755.6
6562,3152,WANTIRNA,145.2289289,-37.8479567,122455.2,5675.6
6563,3152,WANTIRNA SOUTH,145.2329617,-37.8769518,119683.1,5663.8
6564,3153,BAYSWATER,145.268,-37.843,126141.5,5942.9
6565,3153,BAYSWATER NORTH,145.28,-37.827,128181.2,6159.5
6566,3154,THE BASIN,145.3198788,-37.8534742,131016.4,6476.1
6567,3155,BORONIA,145.2867055,-37.8610682,128021.6,6198.9
6568,3156,FERNTREE GULLY,145.2776105,-37.8826855,121092.3,5929.0
6569,3156,LYSTERFIELD,145.301,-37.93,112135.4,5631.4
6570,3156,LYSTERFIELD SOUTH,145.26,-37.949,Unknown,Unknown
6571,3156,MOUNTAIN GATE,145.2735662,-37.8901043,120874.7,5956.9
6572,3156,UPPER FERNTREE GULLY,145.31,-37.895,118907.6,6211.9
6573,3158,UPWEY,145.3309395,-37.9039829,115714.7,6144.1
6574,3159,MENZIES CREEK,145.398,-37.931,113935.1,5750.0
6575,3159,SELBY,145.369,-37.914,113292.3,5740.4
6576,3160,BELGRAVE,145.3558,-37.912067,112921.3,5736.9
6577,3160,BELGRAVE HEIGHTS,145.34,-37.923,112739.9,5794.5
6578,3160,BELGRAVE SOUTH,145.356,-37.94,108819.1,5390.2
6579,3160,TECOMA,145.344,-37.906,114439.5,5968.8
6580,3161,CAULFIELD JUNCTION,145.0245296,-37.874538,129710.9,6364.0
6581,3161,CAULFIELD NORTH,145.0190242,-37.8712631,130077.9,6419.3
6582,3162,CAULFIELD,145.0266,-37.884,130806.3,6505.4
6583,3162,CAULFIELD SOUTH,145.026,-37.891,130791.0,6542.1
6584,3162,HOPETOUN GARDENS,145.010627,-37.8862817,131908.6,6551.3
6585,3163,BOORAN ROAD PO,145.036,-37.896,130215.4,6410.6
6586,3163,CARNEGIE,145.0570577,-37.8891994,127517.3,6165.9
6587,3163,GLEN HUNTLY,145.0410692,-37.8927437,129586.8,6420.0
6588,3163,MURRUMBEENA,145.070895,-37.8978307,126639.2,6124.4
6590,3165,BENTLEIGH EAST,145.0658766,-37.9174873,128781.8,6364.9
6591,3165,COATESVILLE,145.0736344,-37.9201018,128223.1,6271.3
6592,3166,HUGHESDALE,145.0832264,-37.8966159,125182.0,5970.2
6593,3166,HUNTINGDALE,145.1086176,-37.9074344,124209.5,5868.0
6594,3166,OAKLEIGH,145.0923305,-37.8990236,124350.1,5901.2
6595,3166,OAKLEIGH EAST,145.1181383,-37.9085262,122357.4,5828.6
6596,3167,OAKLEIGH SOUTH,145.0989646,-37.9193474,126089.5,6117.4
6597,3168,CLAYTON,145.1320653,-37.9211962,120520.8,5932.2
6598,3168,NOTTING HILL,145.1458611,-37.9048347,119657.1,5663.4
6599,3169,CLARINDA,145.103,-37.941,123902.2,6105.0
6600,3169,CLAYTON SOUTH,145.1267061,-37.9388113,118671.4,5957.5
6601,3170,MULGRAVE,145.1762197,-37.9267579,114850.7,5546.4
6602,3170,WAVERLEY GARDENS,145.1915757,-37.9367533,113133.3,5471.7
6603,3171,SANDOWN VILLAGE,145.1689511,-37.9348302,113893.2,5426.9
6604,3171,SPRINGVALE,145.1541397,-37.9473307,116735.2,5860.2
6605,3172,DINGLEY VILLAGE,145.1226002,-37.9757588,118797.1,5801.4
6606,3172,SPRINGVALE SOUTH,145.1485377,-37.9709927,114855.4,5790.1
6607,3173,KEYSBOROUGH,145.1706992,-38.0042683,111791.4,5804.9
6608,3174,NOBLE PARK,145.1733926,-37.9650097,111881.7,5540.5
6609,3174,NOBLE PARK EAST,145.1733926,-37.9650097,111881.7,5540.5
6610,3174,NOBLE PARK NORTH,145.1762197,-37.9641212,111658.6,5529.5
6611,3175,BANGHOLME,145.1702424,-38.0453436,113956.5,5703.3
6612,3175,DANDENONG,145.2139907,-37.9847811,109605.8,5312.7
6613,3175,DANDENONG EAST,145.2139907,-37.9847811,109605.8,5312.7
6614,3175,DANDENONG NORTH,145.206837,-37.9592436,110579.0,5302.1
6615,3175,DANDENONG SOUTH,145.2153096,-38.0146698,109678.7,5519.6
6616,3175,DUNEARN,145.202499,-37.9675973,109340.5,5282.3
6618,3177,DOVETON,145.2394075,-37.9876769,108033.9,5143.8
6619,3177,EUMEMMERRING,145.247,-37.999,104915.1,5067.4
6620,3178,ROWVILLE,145.2424941,-37.9210442,113259.4,5548.4
6621,3179,SCORESBY,145.220397,-37.9042587,115809.6,5403.1
6622,3180,KNOXFIELD,145.250782,-37.8887649,119050.9,5755.4
6623,3181,PRAHRAN,144.998,-37.852,134069.5,6461.5
6624,3181,PRAHRAN EAST,144.998,-37.852,134069.5,6461.5
6625,3181,WINDSOR,144.988,-37.854,135169.3,6601.8
6626,3182,ST KILDA,144.982,-37.864,136769.3,6764.9
6627,3182,ST KILDA SOUTH,144.978,-37.8679,133719.6,6799.6
6628,3182,ST KILDA WEST,144.9732,-37.8604,137087.2,6840.4
6629,3183,BALACLAVA,144.993,-37.873,132715.9,6660.8
6630,3183,ST KILDA EAST,145.0007064,-37.8626196,134689.8,6516.3
6631,3184,BRIGHTON ROAD,144.9923384,-37.8765417,133126.2,6681.2
6632,3184,ELWOOD,144.9859676,-37.878722,133709.4,6767.5
6633,3185,ELSTERNWICK,145.0059691,-37.8849536,132205.7,6568.5
6634,3185,GARDENVALE,145.007,-37.899,133455.4,6776.6
6635,3185,RIPPONLEA,144.9956077,-37.8784934,133119.8,6690.6
6636,3186,BRIGHTON,144.9997396,-37.9044002,134607.2,6860.1
6637,3186,BRIGHTON NORTH,145.004905,-37.903623,134286.7,6880.3
6638,3186,DENDY,144.9950292,-37.9196902,136329.1,7016.1
6639,3186,WERE STREET PO,145.0,-37.9255,136817.8,7005.8
6640,3187,BRIGHTON EAST,145.0190242,-37.9179439,134698.3,6874.7
6641,3187,NORTH ROAD,145.019596,-37.9013216,132575.2,6600.0
6642,3188,HAMPTON,145.009,-37.937,131490.8,6966.8
6643,3188,HAMPTON EAST,145.031,-37.939,129054.3,6764.2
6644,3188,HAMPTON NORTH,145.0135139,-37.9394031,130090.5,6887.2
6645,3189,MOORABBIN,145.0576067,-37.9403568,126789.8,6448.6
6646,3189,MOORABBIN EAST,145.058,-37.9404,126711.6,6434.9
6647,3189,WISHART,145.0495054,-37.9350908,127853.6,6575.2
6648,3190,HIGHETT,145.0410692,-37.9487497,127658.9,6594.6
6649,3191,SANDRINGHAM,145.0135139,-37.9533967,130853.7,6781.8
6650,3192,CHELTENHAM,145.0658766,-37.964155,123714.8,6421.6
6651,3192,CHELTENHAM EAST,145.0658766,-37.964155,123714.8,6421.6
6652,3192,CHELTENHAM NORTH,145.0629927,-37.9532145,125086.9,6274.6
6653,3192,SOUTHLAND CENTRE,145.0539188,-37.9583789,126501.3,6473.7
6654,3193,BEAUMARIS,145.0434,-37.983,123977.4,6386.0
6655,3193,BLACK ROCK,145.021,-37.972,126857.9,6645.6
6656,3193,BLACK ROCK NORTH,145.017093,-37.966993,127067.0,6657.0
6657,3193,CROMER,145.0450888,-37.9845182,123982.7,6381.0
6658,3194,MENTONE,145.0647654,-37.9812276,121727.7,6162.6
